word,yes_votes,no_votes
airlift,0,0
airlifted,0,0
airlifting,0,0
airlifts,0,0
airline,0,0
airliner,0,0
airliners,0,0
airlines,0,0
airlock,0,0
airlocks,0,0
airmail,0,0
airmailed,0,0
airmailing,0,0
airmails,0,0
airman,0,0
airmen,0,0
airplane,0,0
airplanes,0,0
airplay,0,0
airport,0,0
airports,0,0
airpower,0,0
airs,0,0
airship,0,0
airships,0,0
airshow,0,0
airshows,0,0
airsick,0,0
airsickness,0,0
airspace,0,0
airspeed,0,0
airstrike,0,0
airstrikes,0,0
airstrip,0,0
airstrips,0,0
airtight,0,0
airtime,0,0
airwave,0,0
airwaves,0,0
airway,0,0
airways,0,0
airworthiness,0,0
airworthy,0,0
airy,0,0
aisle,0,0
aisles,0,0
ajar,0,0
akimbo,0,0
akin,0,0
akita,0,0
akitas,0,0
alabaster,0,0
alack,8,80
alacrity,0,0
alanine,0,0
alarm,0,0
alarmed,0,0
alarming,0,0
alarmingly,0,0
alarmism,0,0
alarmist,0,0
alarmists,0,0
alarms,0,0
alas,0,0
albacore,32,60
albatross,0,0
albatrosses,0,0
albedo,0,0
albeit,0,0
albinism,0,0
albino,0,0
albinos,0,0
album,0,0
albumen,0,0
albumin,0,0
albums,0,0
alchemical,0,0
alchemist,0,0
alchemists,0,0
alchemy,0,0
alcohol,0,0
alcoholic,0,0
alcoholics,0,0
alcoholism,0,0
alcohols,0,0
alcove,0,0
alcoves,0,0
alder,0,0
alderman,0,0
aldermen,0,0
alders,0,0
ale,0,0
alehouse,0,0
alehouses,0,0
alert,0,0
alerted,0,0
alerting,0,0
alertly,0,0
alertness,0,0
alerts,0,0
ales,0,0
alexandrite,0,0
alexandrites,0,0
alfalfa,0,0
alfredo,0,0
alfresco,0,0
algae,0,0
algal,0,0
algebra,0,0
algebraic,0,0
algebras,0,0
algorithm,0,0
algorithmic,0,0
algorithmically,0,0
algorithms,0,0
alias,0,0
aliased,0,0
aliases,0,0
aliasing,0,0
alibi,0,0
alibis,0,0
alien,0,0
alienate,0,0
alienated,0,0
alienates,0,0
alienating,0,0
alienation,0,0
aliens,0,0
alight,76,7
alighted,0,0
alighting,0,0
alights,0,0
align,0,0
aligned,0,0
aligner,0,0
aligners,0,0
aligning,0,0
alignment,0,0
alignments,0,0
aligns,0,0
alike,0,0
alimentary,0,0
alimony,0,0
alit,74,24
alive,0,0
aliveness,0,0
alkali,65,20
alkaline,80,3
alkalinity,0,0
alkalis,0,0
alkaloid,0,0
alkaloids,0,0
all,0,0
allay,0,0
allayed,0,0
allaying,0,0
allays,0,0
allegation,0,0
allegations,0,0
allege,0,0
alleged,0,0
allegedly,0,0
alleger,11,53
alleges,0,0
allegiance,0,0
allegiances,0,0
allegiant,0,0
alleging,0,0
allegorical,0,0
allegories,0,0
allegory,0,0
allegro,0,0
allele,42,45
alleles,0,0
allelic,0,0
alleluia,0,0
allergen,0,0
allergenic,0,0
allergens,0,0
allergic,0,0
allergies,0,0
allergist,0,0
allergists,0,0
allergy,0,0
alleviate,0,0
alleviated,0,0
alleviates,0,0
alleviating,0,0
alleviation,0,0
alley,0,0
alleys,0,0
alleyway,0,0
alleyways,0,0
alliance,0,0
alliances,0,0
allied,0,0
allies,0,0
alligator,0,0
alligators,0,0
alliteration,0,0
alliterations,0,0
alliterative,0,0
allocable,0,0
allocate,0,0
allocated,0,0
allocates,0,0
allocating,0,0
allocation,0,0
allocations,0,0
allosaurus,0,0
allosauruses,0,0
allot,0,0
allotment,0,0
allotments,0,0
allotransplantation,0,0
allotransplantations,0,0
allots,0,0
allotted,0,0
allotting,0,0
allover,0,0
allow,0,0
allowable,0,0
allowance,0,0
allowances,0,0
allowed,0,0
allowing,0,0
allows,0,0
alloy,0,0
alloyed,0,0
alloying,0,0
alloys,0,0
allspice,0,0
allude,0,0
alluded,0,0
alludes,0,0
alluding,0,0
allure,0,0
allured,0,0
allures,0,0
alluring,0,0
alluringly,0,0
allusion,0,0
allusions,0,0
alluvial,0,0
ally,0,0
allying,0,0
almanac,0,0
almanacs,0,0
almighty,0,0
almond,0,0
almonds,0,0
almost,0,0
alms,0,0
aloe,0,0
aloes,0,0
aloft,0,0
aloha,79,16
alone,0,0
aloneness,0,0
along,0,0
alongside,0,0
aloof,0,0
aloofness,0,0
alopecia,0,0
aloud,0,0
alpaca,0,0
alpacas,0,0
alpha,0,0
alphabet,0,0
alphabetic,0,0
alphabetical,0,0
alphabetically,0,0
alphabetisation,0,0
alphabetise,0,0
alphabetised,0,0
alphabetises,0,0
alphabetising,0,0
alphabetization,0,0
alphabetize,0,0
alphabetized,0,0
alphabetizes,0,0
alphabetizing,0,0
alphabets,0,0
alphanumeric,0,0
alphas,0,0
alphorn,0,0
alphorns,0,0
alpine,0,0
already,0,0
alright,0,0
also,0,0
alt,0,0
altar,0,0
altarpiece,0,0
altarpieces,0,0
altars,0,0
alter,0,0
alteration,0,0
alterations,0,0
altercation,0,0
altercations,0,0
altered,0,0
altering,0,0
alternate,0,0
alternated,0,0
alternately,0,0
alternates,0,0
alternating,0,0
alternation,0,0
alternations,0,0
alternative,0,0
alternatively,0,0
alternatives,0,0
alternator,0,0
alternators,0,0
alters,0,0
although,0,0
